Wavelength,Reflectance
4.19E+02,1.10E-02
4.24E+02,1.06E-02
4.29E+02,1.05E-02
4.34E+02,1.09E-02
4.39E+02,1.13E-02
4.44E+02,1.20E-02
4.49E+02,1.20E-02
4.54E+02,1.19E-02
4.59E+02,1.19E-02
4.64E+02,1.16E-02
4.69E+02,1.11E-02
4.74E+02,1.13E-02
4.79E+02,1.16E-02
4.84E+02,1.13E-02
4.89E+02,1.13E-02
4.94E+02,1.14E-02
4.99E+02,1.20E-02
5.04E+02,1.26E-02
5.09E+02,1.39E-02
5.14E+02,1.60E-02
5.19E+02,1.92E-02
5.24E+02,2.31E-02
5.29E+02,2.81E-02
5.34E+02,3.22E-02
5.39E+02,3.52E-02
5.44E+02,3.72E-02
5.49E+02,3.85E-02
5.54E+02,3.96E-02
5.59E+02,3.95E-02
5.64E+02,3.69E-02
5.69E+02,3.42E-02
5.74E+02,3.13E-02
5.79E+02,2.86E-02
5.84E+02,2.72E-02
5.89E+02,2.60E-02
5.94E+02,2.54E-02
5.99E+02,2.48E-02
6.04E+02,2.45E-02
6.09E+02,2.33E-02
6.14E+02,2.20E-02
6.19E+02,2.09E-02
6.24E+02,2.03E-02
6.29E+02,1.99E-02
6.34E+02,1.98E-02
6.39E+02,1.91E-02
6.44E+02,1.80E-02
6.49E+02,1.68E-02
6.54E+02,1.55E-02
6.59E+02,1.45E-02
6.64E+02,1.34E-02
6.69E+02,1.20E-02
6.74E+02,8.59E-03
6.79E+02,1.37E-02
6.84E+02,1.39E-02
6.89E+02,1.74E-02
6.94E+02,2.66E-02
6.99E+02,4.36E-02
7.04E+02,6.68E-02
7.09E+02,9.33E-02
7.14E+02,1.20E-01
7.19E+02,1.52E-01
7.24E+02,1.91E-01
7.29E+02,2.32E-01
7.34E+02,2.73E-01
7.39E+02,3.06E-01
7.44E+02,3.35E-01
7.49E+02,3.55E-01
7.54E+02,3.68E-01
7.59E+02,3.59E-01
7.64E+02,3.79E-01
7.69E+02,3.94E-01
7.74E+02,3.97E-01
7.79E+02,4.00E-01
7.84E+02,4.03E-01
7.89E+02,4.03E-01
7.94E+02,4.05E-01
7.99E+02,4.05E-01
8.04E+02,4.07E-01
8.09E+02,4.06E-01
8.14E+02,4.00E-01
8.19E+02,4.04E-01
8.24E+02,4.08E-01
8.29E+02,4.08E-01
8.34E+02,4.15E-01
8.39E+02,4.24E-01
8.44E+02,4.28E-01
8.49E+02,4.30E-01
8.55E+02,4.32E-01
8.60E+02,4.32E-01
8.65E+02,4.36E-01
8.70E+02,4.37E-01
8.75E+02,4.36E-01
8.80E+02,4.38E-01
8.85E+02,4.40E-01
8.90E+02,4.37E-01
8.95E+02,4.26E-01
9.00E+02,4.22E-01
9.05E+02,4.27E-01
9.10E+02,4.23E-01
9.15E+02,4.18E-01
9.20E+02,4.25E-01
9.25E+02,4.22E-01
9.30E+02,3.91E-01
9.35E+02,3.59E-01
9.40E+02,3.77E-01
9.45E+02,3.72E-01
9.50E+02,3.74E-01
9.55E+02,3.75E-01
9.60E+02,3.79E-01
9.65E+02,3.98E-01
9.70E+02,4.09E-01
9.75E+02,4.07E-01
9.80E+02,4.14E-01
9.85E+02,4.23E-01
9.90E+02,4.27E-01
9.95E+02,4.32E-01
1.00E+03,4.35E-01
1.00E+03,4.34E-01
1.01E+03,4.39E-01
1.01E+03,4.42E-01
1.02E+03,4.45E-01
1.02E+03,4.48E-01
1.03E+03,4.51E-01
1.03E+03,4.51E-01
1.04E+03,4.55E-01
1.04E+03,4.57E-01
1.05E+03,4.59E-01
1.05E+03,4.61E-01
1.06E+03,4.63E-01
1.06E+03,4.65E-01
1.07E+03,4.66E-01
1.07E+03,4.66E-01
1.08E+03,4.63E-01
1.08E+03,4.60E-01
1.09E+03,4.59E-01
1.09E+03,4.55E-01
1.10E+03,4.46E-01
1.10E+03,4.43E-01
1.11E+03,4.30E-01
1.11E+03,3.88E-01
1.12E+03,3.40E-01
1.12E+03,3.34E-01
1.13E+03,3.55E-01
1.13E+03,3.59E-01
1.14E+03,3.63E-01
1.14E+03,3.21E-01
1.15E+03,3.36E-01
1.15E+03,3.51E-01
1.16E+03,3.61E-01
1.16E+03,3.65E-01
1.17E+03,3.68E-01
1.18E+03,3.68E-01
1.18E+03,3.65E-01
1.19E+03,3.61E-01
1.19E+03,3.65E-01
1.20E+03,3.64E-01
1.20E+03,3.59E-01
1.21E+03,3.62E-01
1.21E+03,3.64E-01
1.22E+03,3.71E-01
1.22E+03,3.75E-01
1.23E+03,3.82E-01
1.23E+03,3.88E-01
1.24E+03,3.93E-01
1.24E+03,3.95E-01
1.25E+03,3.97E-01
1.25E+03,4.01E-01
1.26E+03,4.01E-01
1.26E+03,3.98E-01
1.27E+03,3.97E-01
1.27E+03,4.08E-01
1.28E+03,4.08E-01
1.28E+03,4.04E-01
1.29E+03,4.06E-01
1.29E+03,4.03E-01
1.30E+03,4.00E-01
1.30E+03,3.94E-01
1.31E+03,3.86E-01
1.31E+03,3.74E-01
1.32E+03,3.65E-01
1.32E+03,3.51E-01
1.33E+03,3.40E-01
1.33E+03,3.04E-01
1.46E+03,5.12E-02
1.47E+03,4.79E-02
1.47E+03,4.45E-02
1.48E+03,5.39E-02
1.48E+03,5.76E-02
1.49E+03,6.26E-02
1.49E+03,7.30E-02
1.50E+03,7.85E-02
1.50E+03,8.26E-02
1.51E+03,8.77E-02
1.51E+03,9.47E-02
1.52E+03,1.00E-01
1.52E+03,1.05E-01
1.53E+03,1.10E-01
1.53E+03,1.14E-01
1.54E+03,1.19E-01
1.54E+03,1.23E-01
1.55E+03,1.29E-01
1.55E+03,1.30E-01
1.56E+03,1.35E-01
1.56E+03,1.36E-01
1.57E+03,1.39E-01
1.57E+03,1.44E-01
1.58E+03,1.41E-01
1.58E+03,1.47E-01
1.59E+03,1.52E-01
1.59E+03,1.54E-01
1.60E+03,1.56E-01
1.60E+03,1.59E-01
1.61E+03,1.64E-01
1.61E+03,1.71E-01
1.62E+03,1.69E-01
1.62E+03,1.69E-01
1.63E+03,1.75E-01
1.63E+03,1.77E-01
1.64E+03,1.77E-01
1.64E+03,1.80E-01
1.65E+03,1.80E-01
1.65E+03,1.79E-01
1.66E+03,1.80E-01
1.66E+03,1.82E-01
1.67E+03,1.79E-01
1.67E+03,1.81E-01
1.68E+03,1.81E-01
1.68E+03,1.82E-01
1.69E+03,1.79E-01
1.69E+03,1.76E-01
1.70E+03,1.73E-01
1.70E+03,1.71E-01
1.71E+03,1.69E-01
1.71E+03,1.67E-01
1.72E+03,1.66E-01
1.72E+03,1.58E-01
1.73E+03,1.57E-01
1.73E+03,1.53E-01
1.74E+03,1.57E-01
1.74E+03,1.55E-01
1.75E+03,1.50E-01
1.75E+03,1.51E-01
1.76E+03,1.46E-01
1.76E+03,1.43E-01
1.77E+03,1.40E-01
1.77E+03,1.38E-01
1.78E+03,1.31E-01
1.78E+03,1.30E-01
1.79E+03,1.28E-01
1.79E+03,1.22E-01
1.80E+03,1.18E-01
1.80E+03,8.29E-02
1.81E+03,7.13E-02
1.81E+03,4.06E-02
1.82E+03,2.58E-03
1.82E+03,0.00E+00
1.83E+03,0.00E+00
1.83E+03,0.00E+00
1.84E+03,0.00E+00
1.84E+03,0.00E+00
1.85E+03,0.00E+00
1.85E+03,0.00E+00
1.86E+03,0.00E+00
1.86E+03,0.00E+00
1.87E+03,0.00E+00
1.87E+03,0.00E+00
1.88E+03,0.00E+00
1.88E+03,0.00E+00
1.89E+03,0.00E+00
1.89E+03,0.00E+00
1.90E+03,0.00E+00
1.90E+03,0.00E+00
1.91E+03,0.00E+00
1.91E+03,0.00E+00
1.92E+03,0.00E+00
1.92E+03,0.00E+00
1.93E+03,0.00E+00
1.93E+03,0.00E+00
1.94E+03,0.00E+00
1.94E+03,0.00E+00
1.95E+03,2.18E-06
1.95E+03,2.39E-05
1.96E+03,4.96E-06
1.96E+03,3.63E-04
1.97E+03,7.14E-03
1.97E+03,1.03E-02
1.98E+03,1.36E-02
1.98E+03,1.61E-02
2.40E+03,1.93E-02
2.40E+03,1.82E-02
2.41E+03,1.45E-02
2.41E+03,1.22E-02
2.42E+03,7.66E-03
2.42E+03,1.14E-02
2.43E+03,1.31E-02
2.43E+03,9.78E-03
2.44E+03,7.45E-03
2.44E+03,8.43E-03
2.45E+03,6.29E-04
2.45E+03,5.46E-04
2.46E+03,5.00E-03
2.46E+03,2.50E-03
2.47E+03,1.04E-03
2.47E+03,4.36E-05
2.48E+03,2.62E-05
2.48E+03,0.00E+00
2.49E+03,0.00E+00
2.49E+03,0.00E+00
